Lunghezza Passo;-1,0397
 T. Contatto;0,0637
 T. Volo;0,1638
 T. Totale;2,0500
 Ritmo;4,8780
 Velocita;-4,9270
;
0019 - (2) - ACC.json;
Lunghezza Passo;-0,7028
 T. Contatto;0,0950
 T. Volo;0,1200
 T. Totale;1,9300
 Ritmo;5,1814
 Velocita;-3,7903
;
0019 - (3) - ACC.json;
Lunghezza Passo;-0,2044
 T. Contatto;0,0800
 T. Volo;0,1312
 T. Totale;1,9000
 Ritmo;5,2632
 Velocita;-1,3997
;
0020 - (1) - ACC.json;
Lunghezza Passo;-1,5224
 T. Contatto;0,0925
 T. Volo;0,1363
 T. Totale;2,0900
 Ritmo;4,7847
 Velocita;-6,7884
;
0020 - (2) - ACC.json;
Lunghezza Passo;-2,4485
 T. Contatto;0,0975
 T. Volo;0,1213
 T. Totale;2,0000
 Ritmo;5,0000
 Velocita;-9,2276
;
0020 - (3) - ACC.json;
Lunghezza Passo;-2,4952
 T. Contatto;0,0725
 T. Volo;0,1412
 T. Totale;1,9300
 Ritmo;5,1813
 Velocita;-12,0359
;
0021 - (1) - ACC.json;
Lunghezza Passo;-0,4998
 T. Contatto;0,1212
 T. Volo;0,1087
 T. Totale;2,1000
 Ritmo;4,7619
 Velocita;-2,4190
;
0021 - (2) - ACC.json;
Lunghezza Passo;-0,5572
 T. Contatto;0,0987
 T. Volo;0,1250
 T. Totale;2,0200
 Ritmo;4,9505
 Velocita;-2,9050
;
0021 - (3) - ACC.json;
Lunghezza Passo;-0,5254
 T. Contatto;0,0888
 T. Volo;0,1225
 T. Totale;1,9000
 Ritmo;5,2632
 Velocita;-2,3839
;
0022 - (1) - ACC.json;
Lunghezza Passo;-6,5534
 T. Contatto;0,0600
 T. Volo;0,1400
 T. Totale;2,9000
 Ritmo;3,4483
 Velocita;-3,1214
;
0022 - (2) - ACC.json;
Lunghezza Passo;-1,9846
 T. Contatto;0,1137
 T. Volo;0,1250
 T. Totale;2,1700
 Ritmo;4,6083
 Velocita;-8,6385
;
0022 - (3) - ACC.json;
Lunghezza Passo;-2,1041
 T. Contatto;0,1037
 T. Volo;0,1300
 T. Totale;2,1000
 Ritmo;4,7619
 Velocita;-9,6249
;
0023 - (1) - ACC.json;
Lunghezza Passo;-4,7536
 T. Contatto;0,0988
 T. Volo;0,1712
 T. Totale;2,4100
 Ritmo;4,1494
 Velocita;-17,3977
;
0023 - (2) - ACC.json;
Lunghezza Passo;-3,4639
 T. Contatto;0,1000
 T. Volo;0,1100
 T. Totale;2,2500
 Ritmo;4,4444
 Velocita;-14,7481
;
0023 - (3) - ACC.json;
Lunghezza Passo;-3,0365
 T. Contatto;0,1025
 T. Volo;0,1150
 T. Totale;2,0300
 Ritmo;4,9261
 Velocita;-13,9708
;
0024 - (1) - ACC.json;
Lunghezza Passo;-1,9908
 T. Contatto;0,1075
 T. Volo;0,1487
 T. Totale;2,3100
 Ritmo;4,3290
 Velocita;-7,9138
;
0024 - (2) - ACC.json;
Lunghezza Passo;-2,2059
 T. Contatto;0,0975
 T. Volo;0,1563
 T. Totale;2,3100
 Ritmo;4,3290
 Velocita;-9,1523
;
0024 - (3) - ACC.json;
Lunghezza Passo;-2,4940
 T. Contatto;0,1200
 T. Volo;0,0900
 T. Totale;2,2500
 Ritmo;4,4444
 Velocita;-8,5617
